,HG00096,HG00097,HG00099,HG00100,HG00101,HG00102,HG00103,HG00104,HG00106,HG00108,HG00109,HG00110,HG00111,HG00112,HG00114,HG00116,HG00117,HG00118,HG00119,HG00120,HG00121,HG00122,HG00123,HG00124,HG00125,HG00126,HG00127,HG00128,HG00129,HG00130,HG00131,HG00133,HG00134,HG00135,HG00136,HG00137,HG00138,HG00139,HG00141,HG00142,HG00143,HG00146,HG00148,HG00149,HG00150,HG00151,HG00152,HG00154,HG00155,HG00156,HG00158,HG00159,HG00160,HG00171,HG00173,HG00174,HG00176,HG00177,HG00178,HG00179,HG00180,HG00182,HG00183,HG00185,HG00186,HG00187,HG00188,HG00189,HG00231,HG00232,HG00233,HG00234,HG00235,HG00236,HG00238,HG00239,HG00240,HG00242,HG00243,HG00244,HG00245,HG00246,HG00247,HG00249,HG00250,HG00251,HG00252,HG00253,HG00255,HG00256,HG00257,HG00258,HG00259,HG00260,HG00261,HG00262,HG00263,HG00264,HG00265,HG00266,HG00267,HG00268,HG00269,HG00271,HG00272,HG00273,HG00274,HG00275,HG00276,HG00277,HG00278,HG00280,HG00281,HG00282,HG00284,HG00285,HG00306,HG00309,HG00310,HG00311,HG00312,HG00313,HG00315,HG00319,HG00320,HG00321,HG00323,HG00324,HG00325,HG00326,HG00327,HG00328,HG00329,HG00330,HG00331,HG00332,HG00334,HG00335,HG00336,HG00337,HG00338,HG00339,HG00341,HG00342,HG00343,HG00344,HG00345,HG00346,HG00349,HG00350,HG00351,HG00353,HG00355,HG00356,HG00358,HG00359,HG00360,HG00361,HG00362,HG00364,HG00366,HG00367,HG00369,HG00372,HG00373,HG00375,HG00376,HG00377,HG00378,HG00381,HG00382,HG00383,HG00384,HG01334,NA06984,NA06986,NA06989,NA06994,NA07037,NA07048,NA07051,NA07056,NA07347,NA07357,NA10847,NA10851,NA11829,NA11830,NA11831,NA11843,NA11892,NA11893,NA11894,NA11920,NA11930,NA11931,NA11992,NA11993,NA11994,NA11995,NA12004,NA12006,NA12043,NA12044,NA12045,NA12058,NA12144,NA12154,NA12155,NA12249,NA12272,NA12273,NA12275,NA12282,NA12283,NA12286,NA12287,NA12340,NA12341,NA12342,NA12347,NA12348,NA12383,NA12399,NA12400,NA12413,NA12489,NA12546,NA12716,NA12717,NA12718,NA12749,NA12750,NA12751,NA12761,NA12763,NA12775,NA12777,NA12778,NA12812,NA12814,NA12815,NA12827,NA12829,NA12830,NA12842,NA12843,NA12872,NA12873,NA12874,NA12889,NA12890,NA18486,NA18487,NA18489,NA18498,NA18499,NA18502,NA18505,NA18508,NA18510,NA18511,NA18517,NA18519,NA18520,NA18858,NA18861,NA18867,NA18868,NA18870,NA18873,NA18907,NA18908,NA18909,NA18910,NA18912,NA18916,NA18917,NA18923,NA18933,NA18934,NA19093,NA19095,NA19096,NA19098,NA19099,NA19102,NA19107,NA19108,NA19113,NA19114,NA19116,NA19117,NA19118,NA19119,NA19121,NA19129,NA19130,NA19131,NA19137,NA19138,NA19146,NA19147,NA19149,NA19150,NA19152,NA19160,NA19171,NA19172,NA19175,NA19185,NA19189,NA19190,NA19197,NA19198,NA19200,NA19204,NA19207,NA19209,NA19213,NA19222,NA19223,NA19225,NA19235,NA19236,NA19247,NA19248,NA19256,NA19257,NA20502,NA20503,NA20504,NA20505,NA20506,NA20507,NA20508,NA20509,NA20510,NA20512,NA20513,NA20515,NA20516,NA20517,NA20518,NA20519,NA20520,NA20521,NA20524,NA20525,NA20527,NA20528,NA20529,NA20530,NA20531,NA20532,NA20534,NA20535,NA20536,NA20537,NA20538,NA20539,NA20540,NA20541,NA20542,NA20543,NA20544,NA20581,NA20582,NA20585,NA20586,NA20588,NA20589,NA20752,NA20754,NA20756,NA20757,NA20758,NA20759,NA20760,NA20761,NA20765,NA20766,NA20768,NA20769,NA20770,NA20771,NA20772,NA20773,NA20774,NA20778,NA20783,NA20785,NA20786,NA20787,NA20790,NA20792,NA20795,NA20796,NA20797,NA20798,NA20799,NA20800,NA20801,NA20802,NA20803,NA20804,NA20805,NA20806,NA20807,NA20808,NA20809,NA20810,NA20811,NA20812,NA20813,NA20814,NA20815,NA20816,NA20819,NA20826,NA20828
bend3,,,,,,,,,,,,,,,,,0.497314453125,,,,,,,,,0.10137939453125,,,,,,,,,,,,,0.4697265625,,,,,,,,0.53564453125,,,,,,,,,,,,0.52587890625,,,0.5771484375,,,,,,,,,,,,,,0.43994140625,,,,,,,,,,,,0.66162109375,,,,,,,,,0.6494140625,0.348876953125,,,,,,,,0.15283203125,,,,,,,0.94580078125,0.7724609375,,,,,,,,,,,,,,,0.342529296875,,,,,,,,,,,,,,1.0859375,,0.642578125,,,,0.2235107421875,,0.802734375,,,,,,,,,,0.5478515625,,,,,,0.54150390625,,,,0.52978515625,,,,0.9921875,,,,,,0.68212890625,,,,,0.3388671875,,,,-0.2452392578125,,,,,,,,,,,,,0.51953125,,,,0.367431640625,0.51416015625,,,0.0831298828125,,,,0.390625,,0.96337890625,,0.431396484375,,,,,,,,,,,,,0.287353515625,,0.2032470703125,0.35400390625,,-0.0897216796875,,,,,,,,,0.6630859375,,0.34619140625,0.380859375,1.17578125,,,0.201416015625,,,,,,,,0.1329345703125,,,,0.34130859375,,,,,,,,0.66796875,,,,,1.1220703125,,0.845703125,,,0.6328125,0.25390625,,,,,,,0.1751708984375,,,,0.348388671875,,,,,0.53759765625,,0.53564453125,,,,,,,,0.43212890625,,,-0.044342041015625,0.39453125,,0.2044677734375,0.96240234375,,,,,,0.22802734375,,,,,0.476806640625,,,,,,,0.515625,0.489013671875,,,,,,,,,,,,,,,,,0.171875,,,,,,0.763671875,,,,,,0.209228515625,0.345703125,,,,0.401123046875,,,0.3251953125,,,,,,,,0.402099609375,,,0.70556640625,,,,,,0.366455078125,,,1.05859375,,0.2744140625,,0.501953125,,,,,0.262451171875,,,0.66455078125,,,0.92724609375,,,,,,,,,0.450927734375,,,,
bend6,,,,,,,,,,,,-0.927734375,,,,,,-0.69287109375,,,-0.2476806640625,-0.311767578125,,-0.1263427734375,,,,,,-0.1016845703125,,-0.1201171875,0.054046630859375,-0.34912109375,,,,,-0.873046875,,,,,,,-0.61181640625,,-0.10626220703125,,,-0.78125,,,-0.8994140625,,,,,,,,,,,,,,,,,,,,,,-0.224365234375,-0.1763916015625,,-0.5068359375,,,0.1700439453125,,,,,,,,,,,,,,,-0.30517578125,-0.154296875,,,,,,,-0.338623046875,,,,,,-0.1109619140625,,,,,,,-0.304931640625,,,,,,-0.448486328125,,,,,,-0.40966796875,,,,,,,0.40625,,,,,1.1171875,,,-0.69921875,,,,,,,0.68212890625,,-0.33447265625,,,0.049652099609375,,,,,,,,,,-0.0005140304565429688,,,,,,-1.0234375,,,,,,,,,,,,,,,-0.2091064453125,,-0.320068359375,,,,,-0.18505859375,,,,0.0190277099609375,,,,-0.07037353515625,,,,,0.09283447265625,,,,,,,,,,,,,,,,,,,-2.009765625,,,,,,,,0.285888671875,,,,,,,,,-0.1522216796875,,,,,,,,,,,,,,,,,,,,,,,-0.391845703125,0.0205535888671875,,-0.368408203125,,,,,-0.25439453125,,,-0.80224609375,,,,,,,,,,,,,,,,,,,,-1.2939453125,,,,,,,,,-0.206787109375,-0.353271484375,,,,,,0.034576416015625,-0.1710205078125,-0.05450439453125,,,,,,1.3818359375,,,,,,,,,,,,,,0.10906982421875,,,,,,,,,,,,,-0.83447265625,,-0.52197265625,,0.0084075927734375,,,,-1.1689453125,-0.57568359375,-0.06988525390625,,,-1.2861328125,-1.3955078125,,,,,,,,,-0.55615234375,,-0.84912109375,,-0.00843048095703125,,,,-0.5654296875,,,,,-0.322021484375,-0.390869140625,,,0.20703125,0.67724609375,-0.47412109375,0.55615234375,-0.3544921875,,,0.4677734375,,,,,,,,,,,,,,,,,,-0.23876953125,,,,,-0.2474365234375,,
bet1,,,,,2.7578125,,,,,,,,,,2.45703125,,,,,,,,,,,,2.607421875,,,2.8125,,,2.94921875,,2.638671875,,,,2.646484375,,,,,,,2.626953125,,,2.6640625,,,,,,,,,,,,,,,2.73046875,2.5390625,,,,2.63671875,,,,,3.037109375,,,,,,2.77734375,,,,,,,,2.88671875,2.888671875,,,,,,,2.498046875,,,,2.408203125,,,,,,,,,,,,,,,,,,2.486328125,,,,,,,,2.654296875,,,,,2.982421875,,,,,,,,,,,,,,,,,,,2.6953125,,,2.57421875,,,,,2.396484375,,,2.96484375,,,,2.66796875,,,,,,,,,,,2.76171875,,,,,,,2.396484375,,,,,,,,,,,,,2.75,,2.75,,,,,,,,,,,,,,,2.544921875,,2.671875,2.794921875,,,,,,,2.8359375,,,2.6640625,,,,,,,,,,2.611328125,,,,,,,,,,,,,,,,,,,,2.8125,,,2.353515625,,,,,,,,,2.703125,,,,,,2.568359375,,2.724609375,,2.6796875,,2.376953125,,,,,,2.794921875,,,,2.599609375,,,,,,,,2.66015625,,,,,,,,2.580078125,2.537109375,,2.607421875,,2.8046875,,2.84765625,,2.84375,,,,2.890625,2.97265625,,,,,,,,,,,,2.771484375,,,,,2.630859375,2.662109375,,2.607421875,,2.603515625,,,2.654296875,,,,,,,,,,2.595703125,,,,,,,,,,2.671875,,,2.841796875,,2.669921875,,,,,2.82421875,,,,,,,,2.71484375,,2.609375,2.58984375,,,,,2.77734375,,2.9140625,,2.728515625,2.556640625,,,,,,,,,,,2.931640625,2.58984375,,,2.60546875,2.8984375,,,2.73828125,,,,,,
bfsp2,,,,,,,,,,0.51171875,,,,,,,,,1.3642578125,,,,,,,,,,1.4677734375,1.3974609375,,,1.8828125,,,,,,,,,,,2.1171875,,,0.8642578125,,,2.064453125,1.1640625,,,,,,,1.5390625,,1.8828125,,,2.330078125,,1.4970703125,,,,1.443359375,,,,,,,,,,,,,1.08203125,,,,,,,1.9443359375,,,,,,,,,,,,,1.55078125,,2.25390625,,,,1.5791015625,2.15234375,1.037109375,,,,,1.58203125,,,,,,,,,,1.828125,,,,,,,,,,,,,1.4521484375,,,,,2.099609375,,,,,,1.69140625,0.33251953125,,,1.8427734375,1.7568359375,,1.5078125,,1.892578125,,,,,,,,,,1.2421875,,2.17578125,,,,,1.33984375,,,,,,,,2.01953125,,,,,,1.30859375,,,,1.369140625,,,,2.205078125,,,,,,,,,,,,,1.638671875,,,,,,,1.2080078125,,,,1.7373046875,,,,,2.591796875,,,,,,,2.095703125,1.427734375,,,,1.6259765625,,,0.5908203125,,,,,,,,,,,,,,,,,,,0.54052734375,,0.7685546875,,,,,,,,,1.8681640625,,,,,,,,,,,,,,,,,2.1328125,,,2.21484375,,1.189453125,,,,,1.5009765625,,,1.478515625,,,,,1.849609375,,,,,,,,,,0.55859375,,0.974609375,,,,,,,2.123046875,,,1.734375,,,2.34765625,0.79052734375,,,,,1.1455078125,,,1.609375,,,,0.99853515625,,1.3544921875,,,,,,,,1.037109375,,,,1.1298828125,,,,,,,,,,,,,,1.001953125,1.46875,,,,,,,,,,,1.8466796875,,,,1.818359375,,,,,,,,,,,,,,,,,1.869140625,,,,1.7080078125,2.06640625,,,,,,0.60498046875,,1.662109375,,1.689453125,
bicd2,,,,,,1.966796875,,,2.015625,,,,1.9638671875,,,,1.9453125,2.07421875,,,,,,,2.193359375,,,,,,,,,,,,,,,,,,1.9580078125,,,,2.12890625,,,2.162109375,,,,,,2.01953125,,,,1.986328125,,,,1.91015625,1.9169921875,1.935546875,,2.119140625,2.09765625,,,2.00390625,,,,,,,,,,,2.08203125,,,,,,,,2.013671875,,,,,,,,,1.798828125,,,1.9287109375,,,1.953125,,,,,2.001953125,,,,,1.89453125,,,2.052734375,,2.16015625,,,2.146484375,,,,,1.9853515625,,2.169921875,,,,,,,2.072265625,2.0625,,,,,,1.9951171875,,,2.123046875,,,,,,2.060546875,,,,,,,1.8447265625,,,1.9423828125,,,1.9619140625,,2.185546875,,,,,,,,,,,,,,,2.12890625,,,,,,,,,,,,,,,,2.01953125,,2.322265625,2.087890625,,,2.42578125,,,,2.0,,2.1328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98828125,,,,,,2.009765625,,,,,,,,,,1.8515625,,,2.181640625,2.041015625,,,,,,,,,,2.08984375,,2.05859375,,,,,2.013671875,,,,,,,,,1.9990234375,,,,,,,,,,,,,,,,,,,,,,,2.095703125,,2.00390625,2.048828125,1.978515625,,,1.953125,,2.037109375,,,,,2.197265625,,,2.23046875,,,,2.0546875,,,,,2.150390625,2.162109375,,2.220703125,,,,,,2.0859375,,,,,2.275390625,2.177734375,,,,,,,,2.06640625,,,,2.1015625,,,,1.9951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1875,,,2.109375,,,,2.134765625,,,,,,,,,1.998046875,,,,,1.9033203125,
bik,,,,,,,,,,,,,,,,,0.327392578125,,1.1064453125,0.08331298828125,0.76025390625,,,-0.175537109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7216796875,,,0.71044921875,,1.3125,,,,,1.2451171875,0.712890625,,,,,,1.5517578125,,,,,,,,1.431640625,,,,,,,0.322509765625,1.28515625,1.318359375,1.1279296875,,,,,-0.0201873779296875,,,,,,,,,1.1123046875,,,0.494384765625,,,,,,,,,0.6923828125,,,,0.441162109375,0.71533203125,,,,,,,,,,,,,,0.78955078125,,,,-0.286865234375,,,,,,0.826171875,,1.59765625,,,1.251953125,,,,,,,,,,1.1904296875,,,,,,1.072265625,1.4794921875,1.3466796875,,,,,,,,,,,,,,0.371826171875,,,1.173828125,,1.3466796875,,,,,,,-0.427490234375,,0.78759765625,,,,,,,,,,,,,,,,,,,,,,,,0.79541015625,,,,,,,1.697265625,,,,,,,,,,,,1.3134765625,,,,,,,,,,,,,,,,0.89453125,0.17138671875,,0.1968994140625,,0.416259765625,1.4091796875,0.6630859375,,1.3564453125,,,1.1220703125,0.0863037109375,,,-1.3857421875,,,,1.3291015625,,,,,,,0.84912109375,,,,,,,1.3974609375,,,,,,,,,,,,,,0.377685546875,,,,,,,,1.712890625,,1.7587890625,,,,,,,,,,,,,,,,,,,,,1.478515625,,,2.265625,,,,2.02734375,,,,1.2744140625,,,0.313720703125,1.3388671875,0.484619140625,,,0.96435546875,,1.326171875,,,,,,,,,,,,1.2373046875,,,1.2373046875,,,,,,,,,,,,,0.72216796875,,,1.3876953125,,,,,,,,2.990234375,,,,,,1.10546875,1.4462890625,,,0.381103515625,,,,,,1.716796875,,,,1.04296875,,0.89501953125,,,1.4794921875,,,,,1.236328125
bin1,,,,,,,2.884765625,,2.94140625,,,2.9375,,2.3359375,,,,2.984375,,3.068359375,,,,,,,,,,,2.875,,,,,,,,,,,,,,,,2.748046875,,,,,,,,,3.017578125,,,,,2.2578125,,,,,,,,2.486328125,3.052734375,,,2.884765625,2.564453125,,3.076171875,2.814453125,2.935546875,,,,,,,2.912109375,,,,,,,,,,,,2.451171875,,,,,,,,,,,,,,,2.314453125,,,2.8125,,,,,,2.388671875,,,,,,,,,,,,,,,,2.47265625,2.771484375,,,,,,,,,,2.51953125,,,,,,,,,,,,,,,2.904296875,,,,,2.63671875,2.18359375,,2.400390625,,,3.009765625,,,,,,2.259765625,,3.185546875,,2.841796875,,,,,,,,,2.69921875,,,,,,,,,2.919921875,,,,,,2.943359375,,,2.48828125,,3.015625,,3.189453125,0.85009765625,,,,,,,,2.728515625,,,,,,1.2255859375,,,,,,,,,2.712890625,,,,,,,,,,,,,,2.763671875,,,3.05859375,,,,,2.48828125,,2.921875,,,,,,,,,,2.83203125,,,,,,,,,,2.724609375,,,,,,,,,,,,,2.470703125,,,,,,2.978515625,,,,,,,,,,,,,,,,1.6279296875,,,,,,,2.904296875,,3.0078125,,,,3.291015625,2.837890625,,,,,,2.7421875,2.861328125,,,,,,,,,,,,,3.27734375,2.900390625,2.388671875,,,,,,,2.673828125,,,,3.1484375,,,,,,2.974609375,,,,,,,,3.349609375,3.125,,,2.7109375,3.1171875,,,,,2.89453125,2.994140625,,,,2.73828125,,,2.822265625,,2.681640625,2.5546875,,,3.060546875,,,3.009765625,,,,,,,,,,,,,,,2.75390625
birc5,,,,,,3.6015625,,3.220703125,3.697265625,,,,3.58984375,,,,3.40625,,,3.49609375,,,,,3.580078125,,3.71484375,,,,,,,,,3.41015625,,,,,,3.751953125,3.64453125,,,,,,,,,,,,,,,,,,,,3.62890625,,,,,,3.474609375,,,3.73046875,,,,,,,,,,,,,3.576171875,,3.447265625,,,,,,,,,,,,,3.666015625,3.5703125,,3.744140625,3.48828125,,3.658203125,,,,,,,,,,,,,,,,3.759765625,,,,,,,,,,3.677734375,3.455078125,3.78125,,3.87890625,,,,,,,,,,,,3.529296875,,3.568359375,3.46484375,3.833984375,,,3.50390625,3.68359375,,,,,,,,,,3.71875,,,,,3.638671875,,,,,,,3.56640625,,3.517578125,,,,,,3.552734375,,,3.625,,,,,,3.658203125,,,,,3.681640625,,,3.68359375,3.310546875,,,,,,3.669921875,,,,,,,,,,3.505859375,,,,3.701171875,,,,,3.7421875,,,,3.58984375,,,,,3.4921875,,,,,,,,,,,3.6796875,,3.609375,,3.716796875,3.59375,,,,,,,3.796875,,,,,3.396484375,,,,,,,,,3.595703125,,,,,3.462890625,,,,,,,,,,,,,,,,,,,3.654296875,,,3.46484375,3.4375,,,,,,,,3.19921875,,,,,,,,,,,,,3.400390625,,3.38671875,,,,,3.595703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.431640625,,3.3671875,,,,,3.576171875,,3.529296875,,3.818359375,,,3.4609375,,,,3.318359375,,3.498046875,,,,,3.767578125,,,3.576171875,3.662109375,,,,,,3.4921875,,,3.3828125,,3.583984375,,,,,,,,,
birc7,,,,,,,,,-0.841796875,-1.8671875,,,,,,,-0.1478271484375,,-2.611328125,,,-1.1455078125,,,,,-1.4189453125,,-0.77392578125,,,,,-2.03515625,,,-0.78125,,,,-0.1805419921875,,,,-3.322265625,,-0.52490234375,,,,,,,,,,,,-0.958984375,,,,-1.5908203125,0.47265625,,-0.83984375,,,,,-1.12109375,,0.06793212890625,,,,,,,,,,,,,,,,-0.35595703125,,-1.4375,,,,-2.3671875,,,,,,,,-0.7822265625,,,,,,-0.978515625,,,-0.419189453125,,,,,,,-0.1326904296875,,,,,,,,,-1.8984375,,-0.880859375,,,,,,,,,-0.6513671875,,,,,,,,,,,,,,,,,,,,,,,,-0.274658203125,,,,,,,,,,,,1.556640625,,,,,-0.67529296875,,,,,,,,,,,,,,,,-1.1962890625,,,,,,,,,-1.248046875,-0.49365234375,-0.03662109375,,1.263671875,,,,,,,-0.037078857421875,,,,,,,,,-0.79296875,,,,,,,,,,-0.32177734375,,,0.91259765625,,,,,,,-2.865234375,,,,-5.46484375,0.182373046875,,,,,,,,,,0.471435546875,-1.10546875,,,-0.92236328125,,,,,-2.865234375,,,,,,,,,0.4150390625,,,1.876953125,,,,,-0.429443359375,,0.9580078125,,,,,,,,,,0.33251953125,,-2.33203125,,,,-1.9189453125,,,,-2.203125,,,,,,,0.8701171875,,,,,,,-3.595703125,,,,-2.818359375,,,-1.8271484375,,,,0.2088623046875,,,,,,,,,,,-0.7685546875,,,,0.044097900390625,,,1.16015625,,,,,-1.9833984375,,,1.193359375,,,,,,-0.74755859375,-1.8173828125,,,,,,,,,,,,-2.25,-0.970703125,,,,,,,,,,,,,,,-0.7041015625,,-0.8115234375,,,-0.47802734375,-0.193359375,,-0.153076171875,,,,,,-0.89990234375,,,,-0.224609375,,,,-2.275390625,,,,,
blk,,,,,,,3.896484375,,,4.0,,,,,,4.11328125,,,3.615234375,3.26953125,,,4.4921875,,,3.943359375,,,,,,,,,,,4.01953125,,3.53515625,,3.091796875,,,3.736328125,,,,,,4.3828125,4.00390625,,,4.3125,3.1015625,,,,3.845703125,,4.1640625,3.9140625,,,,,,,,,,,,,,,3.95703125,,,4.203125,4.21875,,3.708984375,,,,,,4.0078125,,,,,,,,,,,,3.16796875,,,,,,,,,,,,,,3.6015625,,,,,3.935546875,3.86328125,,,,,,,3.888671875,,3.96484375,,,3.67578125,,,,,,,,4.33203125,,,,,,4.078125,,3.875,,,,3.998046875,,,,3.712890625,,4.19140625,,3.779296875,,3.30078125,,,,,,,,,,,,,,,3.900390625,,,,3.1875,2.56640625,,,,3.603515625,,,,,,,,,3.98828125,,4.02734375,,,,,,,,,,,,3.720703125,,,,,,,,,,,,,,,,,,,,,4.1875,,,,,,,3.916015625,,3.7890625,,,3.505859375,,,,,,3.576171875,,,,,3.828125,,,,,,3.63671875,,,,,,3.7421875,,,,,,4.38671875,,,,,,,,,,,,,,3.86328125,,,,,3.83984375,,,,,,,,,,,,4.28125,,4.08203125,,4.10546875,,,,4.26171875,,,,,,,,,,,,,,4.00390625,,,,,,,,,,,,,,,,,3.435546875,,,,,,,,,,4.0546875,,,,,,,,,,,,,,,4.19140625,,4.56640625,,4.078125,3.953125,,,,4.2265625,,,,3.92578125,,,,,,,,2.80859375,,,4.1171875,,,,,,,3.953125,4.32421875,,2.517578125,,,,,,,,3.20703125,3.984375,,,,,,,,,,,3.859375
bloc1s1,,,3.28125,,,3.783203125,,,3.65625,,,,3.802734375,,,,,,,,,,,,3.626953125,,,,,,,,,,,,3.537109375,,,,3.443359375,,,,,,,,,,,,,,3.74609375,,,,,,,,,,3.26953125,3.845703125,,,,,,,3.751953125,,,,,,,,,,,3.47265625,3.46484375,,3.30078125,,4.05859375,,,,,,,,,,,,,,,,,,,,,,3.91796875,,3.05859375,,,3.826171875,,3.724609375,3.275390625,,,,,,3.712890625,,,,,,,3.6171875,,,,,,3.599609375,,,,3.3203125,,,3.736328125,,3.80078125,,,,,3.58203125,,3.626953125,3.591796875,3.876953125,,,,,,,,3.33984375,,,,,,3.73046875,,,,,,,,,,3.65234375,,3.5546875,,,,,,3.96484375,,,3.8359375,,,,,,,,3.828125,,,3.5,3.673828125,,,,3.73828125,,,,,,,,3.658203125,,,3.587890625,,,,,,,,,3.96875,,,3.48828125,,,3.740234375,,,3.66015625,3.5859375,,3.5703125,,,,,2.576171875,,,,,,3.501953125,,,,,,,,3.7578125,,3.76171875,,,3.54296875,,,,,3.810546875,,,,,,,,,,,,,,3.603515625,,,,,2.5859375,,,,,,,,3.861328125,3.57421875,3.7890625,,,,3.66015625,,,,,,3.625,,,,,,,,,3.708984375,,,,3.458984375,,,3.69921875,3.625,,,,,,,,,,,,3.669921875,,,,,,,,,,3.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.869140625,,,3.572265625,,,3.740234375,,,,,,,3.62109375,,,,,,3.5390625,3.099609375,,,,3.796875,,,,,,,,3.654296875,,,,3.77734375,3.69921875,,,,,
bloc1s2,3.88671875,,,,,,,,,3.576171875,,,3.58203125,,,,,,,,,,3.12109375,,,,3.43359375,,,,,,,,,,,,3.35546875,3.744140625,3.775390625,3.5625,,3.3671875,3.21484375,,,,,,,,,,,,,,,,3.068359375,,,,,,,,,3.67578125,,3.388671875,,3.658203125,,3.69921875,,,,,,,,,,,,,,,,,,3.609375,,,,,,,,,,,,,,,,3.40234375,,,,3.529296875,,,,,,3.67578125,,,3.703125,,,,,,,,,,,,,,3.443359375,,,,,,,,3.26171875,,,3.62109375,,,3.20703125,3.490234375,,,,3.427734375,,,,,,3.486328125,,,3.177734375,,,,3.517578125,,,,,,4.015625,,,,,,,,,,,,,3.51953125,3.673828125,,,,,,,,,,,,,,,,,3.41015625,,,,,,,,,,3.689453125,,,3.3203125,,3.404296875,,3.705078125,,3.533203125,,3.28125,,,,,,,3.62109375,,3.38671875,,3.14453125,,,,3.705078125,,,,,,,,,,,,,,3.51953125,,,3.505859375,,,3.373046875,,3.5078125,,3.564453125,,,,,,,,3.51171875,,,3.931640625,3.37890625,,,3.486328125,,,,,3.337890625,3.234375,,,,2.689453125,,3.1015625,,,,,,,,,,3.298828125,3.11328125,,,3.630859375,3.330078125,,,,3.626953125,,3.220703125,,,,,,,,,,,3.29296875,,,,,,,,,,,,3.265625,,,,3.37109375,,,3.162109375,,,,,,,,,,,,,,,,3.408203125,,,,,,,,,3.537109375,,,,,,,,,,,,,,,3.7578125,,,3.369140625,,3.62890625,3.1015625,,,,,,,,3.25,,,,3.6328125,,,,,,,3.64453125,,,,,3.43359375,,,,,,,
bmp1,,,,,,,,,-0.8115234375,,,,,,,,,,,,,,,,,,,-0.68994140625,,-0.923828125,,-1.4892578125,-0.720703125,,,,,,,,,,,-1.1416015625,,,,,,,,,,,,,,,,,-0.65673828125,-0.9814453125,,,-1.1650390625,,,,,,,,,,,,-0.96435546875,,,-1.5791015625,,,,,,,,,,,,,,-1.357421875,,,-1.056640625,,,,,,,,,,,,,,,-1.2177734375,-1.076171875,,,,,,,-1.2412109375,,,,,,-1.2685546875,,-1.4560546875,-0.4345703125,,,,,,,,-0.9228515625,-1.58984375,,,,,,,,,,,,,,,,,,,,,,,-0.732421875,,-1.09765625,-1.0458984375,,,,,,,,,,,,,,,,,,,,,,,,,-1.150390625,,-0.9482421875,-1.05078125,,,0.04315185546875,-0.91015625,-1.5244140625,,,,,,,,,,-2.07421875,-0.69775390625,,,,,,,-0.478271484375,,-1.857421875,,,,,,,,,,,,,-0.8662109375,,,-1.3603515625,-1.162109375,,,0.1602783203125,,-0.55908203125,-1.072265625,,,,-1.158203125,,,,,,,,-1.583984375,-1.45703125,,,,-1.03515625,,,,,,,,,,,,,,,,,,,-1.5283203125,,-0.8583984375,,-0.626953125,-0.85986328125,-0.32275390625,,-1.455078125,,-0.1424560546875,,,-0.7919921875,,,,,,,,,,,-0.65576171875,-0.8544921875,,-1.22265625,,,,,,,,,,-1.0263671875,-0.8896484375,,,,,-1.2646484375,,,-0.4599609375,,,,,,,,,,,,-0.783203125,-1.017578125,,,,,,,,,-1.26171875,,,,,,,,,,,,,-0.6708984375,,-0.66552734375,,,,-1.2060546875,,-1.552734375,,-0.57763671875,,,,,,,-0.90380859375,,,,,,-1.6181640625,,-1.533203125,,,,,,,-0.9453125,,0.2498779296875,-1.1953125,-0.716796875,,,,,,-0.79736328125,,,,,,,,,,0.0665283203125,,,,,,,,,,-0.93896484375,,
